num,name,date,date_frac,jd,filter,wlen,alpha,alpha_jpl,pol,dpol,thp,dthp,Pr,dPr,pols,thr,PsAng,PsAng_jpl,observatory,reference,dalpha,dPsAng
4,Vesta,88/4/16,0.664,2447268.164,B,0.435,24.4,24.482,0.28,0.04,5.6,4.7,0.28,,,,102.1,102.125,Sanglok,Unpbl Kiselev,-0.08,-0.03
4,Vesta,88/4/16,0.686,2447268.186,V,0.559,24.4,24.4825,0.29,0.03,12.7,4.4,0.29,,,,102.1,102.125,Sanglok,Unpbl Kiselev,-0.08,-0.03
4,Vesta,88/4/16,0.706,2447268.206,R,0.685,24.4,24.483,0.26,0.04,1.6,6.8,0.26,,,,102.1,102.126,Sanglok,Unpbl Kiselev,-0.08,-0.03
4,Vesta,88/4/16,0.727,2447268.227,B,0.435,24.4,24.4835,0.22,0.04,9.0,6.2,0.22,,,,102.1,102.126,Sanglok,Unpbl Kiselev,-0.08,-0.03
4,Vesta,90/12/6,0.906,2448232.406,U,0.362,7.4,10.1933,0.64,0.05,57.8,1.4,-0.64,,,,58.7,58.732,Crimea   1.25,Unpbl Lupishko,-2.79,-0.03
4,Vesta,90/12/6,0.906,2448232.406,B,0.435,7.4,10.1933,0.71,0.03,58.0,1.2,-0.71,,,,58.7,58.732,Crimea   1.25,Unpbl Lupishko,-2.79,-0.03
4,Vesta,90/12/6,0.906,2448232.406,V,0.559,7.4,10.1933,0.74,0.03,57.8,1.2,-0.74,,,,58.7,58.732,Crimea   1.25,Unpbl Lupishko,-2.79,-0.03
4,Vesta,90/12/6,0.906,2448232.406,R,0.685,7.4,10.1933,0.76,0.04,57.6,1.7,-0.76,,,,58.7,58.732,Crimea   1.25,Unpbl Lupishko,-2.79,-0.03
4,Vesta,90/12/6,0.906,2448232.406,I,0.952,7.4,10.1933,0.86,0.04,57.1,1.5,-0.86,,,,58.7,58.732,Crimea   1.25,Unpbl Lupishko,-2.79,-0.03
4,Vesta,07/3/15,0.0,2454174.5,U,0.362,26.39,26.4169,,0.15,,6.0,0.42,,,163.4,,276.012,CASLEO   2.15,2014  Gil-Hutton,-0.03,
4,Vesta,07/3/15,0.0,2454174.5,V,0.559,26.39,26.4169,,0.29,,4.7,0.89,,,157.2,,276.012,CASLEO   2.15,2014  Gil-Hutton,-0.03,
4,Vesta,07/3/15,0.0,2454174.5,R,0.685,26.39,26.4169,,0.29,,5.5,0.7,,,155.0,,276.012,CASLEO   2.15,2014  Gil-Hutton,-0.03,
4,Vesta,07/9/8,0.0,2454351.5,U,0.362,27.64,27.6506,,0.18,,8.7,0.39,,,12.2,,97.018,CASLEO   2.15,2014  Gil-Hutton,-0.01,
4,Vesta,07/9/8,0.0,2454351.5,B,0.435,27.64,27.6506,,0.05,,3.2,0.4,,,5.8,,97.018,CASLEO   2.15,2014  Gil-Hutton,-0.01,
4,Vesta,07/9/8,0.0,2454351.5,V,0.559,27.64,27.6506,,0.25,,7.8,0.42,,,155.5,,97.018,CASLEO   2.15,2014  Gil-Hutton,-0.01,
4,Vesta,07/9/8,0.0,2454351.5,R,0.685,27.64,27.6506,,0.16,,4.6,0.56,,,160.8,,97.018,CASLEO   2.15,2014  Gil-Hutton,-0.01,
4,Vesta,14/3/19,0.402,2456735.902,B,0.435,13.7,13.6844,0.52,0.0,89.1,0.2,-0.52,,,,,270.633,Lick     3.0,2015  Wiktorowicz,0.02,
4,Vesta,14/3/19,0.413,2456735.913,V,0.559,13.7,13.6801,0.5,0.01,88.6,0.3,-0.5,,,,,270.623,Lick     3.0,2015  Wiktorowicz,0.02,
4,Vesta,14/3/19,0.424,2456735.924,U,0.362,13.7,13.6759,0.69,0.03,87.7,1.2,-0.69,,,,,270.614,Lick     3.0,2015  Wiktorowicz,0.02,
4,Vesta,14/3/19,0.433,2456735.933,B,0.435,13.7,13.6724,0.51,0.01,89.1,0.3,-0.51,,,,,270.606,Lick     3.0,2015  Wiktorowicz,0.03,
4,Vesta,14/3/19,0.445,2456735.945,V,0.559,13.7,13.6677,0.47,0.01,88.6,0.3,-0.47,,,,,270.595,Lick     3.0,2015  Wiktorowicz,0.03,
4,Vesta,14/3/19,0.456,2456735.956,U,0.362,13.7,13.6635,0.64,0.02,89.6,1.0,-0.64,,,,,270.585,Lick     3.0,2015  Wiktorowicz,0.04,
4,Vesta,14/3/19,0.467,2456735.967,B,0.435,13.7,13.6592,0.51,0.0,88.6,0.2,-0.51,,,,,270.575,Lick     3.0,2015  Wiktorowicz,0.04,
4,Vesta,14/3/19,0.477,2456735.977,V,0.559,13.7,13.6554,0.49,0.01,88.8,0.3,-0.49,,,,,270.566,Lick     3.0,2015  Wiktorowicz,0.04,
4,Vesta,14/3/19,0.488,2456735.988,U,0.362,13.7,13.6511,0.69,0.02,87.7,0.9,-0.69,,,,,270.556,Lick     3.0,2015  Wiktorowicz,0.05,
4,Vesta,14/3/19,0.498,2456735.998,B,0.435,13.7,13.6472,0.52,0.0,88.7,0.2,-0.52,,,,,270.547,Lick     3.0,2015  Wiktorowicz,0.05,
4,Vesta,14/3/19,0.509,2456736.009,V,0.559,13.7,13.643,0.51,0.0,88.8,0.3,-0.51,,,,,270.538,Lick     3.0,2015  Wiktorowicz,0.06,
4,Vesta,14/3/19,0.519,2456736.019,U,0.362,13.7,13.6391,0.7,0.03,88.4,1.0,-0.7,,,,,270.529,Lick     3.0,2015  Wiktorowicz,0.06,
4,Vesta,14/3/19,0.53,2456736.03,B,0.435,13.7,13.6349,0.53,0.01,88.8,0.2,-0.53,,,,,270.519,Lick     3.0,2015  Wiktorowicz,0.07,
4,Vesta,14/3/19,0.54,2456736.04,V,0.559,13.7,13.631,0.52,0.01,89.6,0.3,-0.52,,,,,270.51,Lick     3.0,2015  Wiktorowicz,0.07,
4,Vesta,14/3/19,0.551,2456736.051,U,0.362,13.7,13.6267,0.62,0.03,85.4,1.2,-0.62,,,,,270.5,Lick     3.0,2015  Wiktorowicz,0.07,
1,Ceres,,0.034,2458130.034,V,0.559,9.53,,,0.09,,,-1.4,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.867,2457723.867,V,0.559,15.24,,,0.08,,,-0.83,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.848,2457727.848,V,0.559,16.15,,,0.12,,,-0.59,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.248,2458106.248,V,0.559,17.02,,,0.09,,,-0.23,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.108,2457622.108,V,0.559,18.39,,,0.09,,,0.03,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.018,2457621.018,V,0.559,18.53,,,0.09,,,0.01,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.071,2457618.071,V,0.559,18.89,,,0.09,,,0.15,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.073,2457617.073,V,0.559,19.0,,,0.09,,,0.16,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.142,2459448.142,V,0.559,20.85,,,0.08,,,0.69,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.892,2458246.892,V,0.559,23.12,,,0.09,,,1.4,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.367,2450638.367,U,0.362,16.75,,,0.06,,,-0.39,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.367,2450638.367,B,0.435,16.75,,,0.03,,,-0.37,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.367,2450638.367,V,0.559,16.75,,,0.03,,,-0.31,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.367,2450638.367,R,0.635,16.75,,,0.02,,,-0.3,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.367,2450638.367,I,0.783,16.75,,,0.03,,,-0.24,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.191,2452554.191,U,0.362,5.15,,,0.17,,,-1.8,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.191,2452554.191,B,0.435,5.15,,,0.08,,,-1.67,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.191,2452554.191,V,0.559,5.15,,,0.03,,,-1.49,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.191,2452554.191,R,0.635,5.15,,,0.03,,,-1.51,,,,,,,2022A&A...665A..66B,,
1,Ceres,,0.191,2452554.191,I,0.783,5.15,,,0.06,,,-1.43,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.005,2459274.005,V,0.559,4.69,,,0.08,,,-0.61,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.057,2458261.057,V,0.559,14.21,,,0.08,,,-0.48,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.088,2458765.088,V,0.559,15.05,,,0.08,,,-0.43,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.127,2458763.127,V,0.559,15.7,,,0.08,,,-0.43,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.116,2457723.116,V,0.559,18.9,,,0.09,,,-0.2,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.888,2458855.888,V,0.559,20.29,,,0.08,,,-0.2,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.136,2459225.136,V,0.559,20.68,,,0.08,,,-0.14,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.185,2458199.185,V,0.559,27.39,,,0.08,,,0.26,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.189,2458198.189,V,0.559,27.41,,,0.08,,,0.17,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.212,2458196.212,V,0.559,27.43,,,0.1,,,0.36,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.25,2450159.25,U,0.362,22.32,,,0.14,,,0.07,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.25,2450159.25,B,0.435,22.32,,,0.13,,,0.03,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.25,2450159.25,V,0.559,22.32,,,0.03,,,0.02,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.25,2450159.25,R,0.635,22.32,,,0.04,,,0.0,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.25,2450159.25,I,0.783,22.32,,,0.07,,,-0.1,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.344,2450157.344,U,0.362,22.74,,,0.12,,,0.43,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.344,2450157.344,B,0.435,22.74,,,0.15,,,0.17,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.344,2450157.344,V,0.559,22.74,,,0.04,,,0.02,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.344,2450157.344,R,0.635,22.74,,,0.02,,,0.08,,,,,,,2022A&A...665A..66B,,
4,Vesta,,0.344,2450157.344,I,0.783,22.74,,,0.07,,,-0.05,,,,,,,2022A&A...665A..66B,,
4,Vesta,11/9/25,0.0,,V,0.559,21.2,,,0.026776005566501723,,,0.009999999999999998,,,,,,El Leoncito Observatory 2.15-m,2016MNRAS.456..248C,,
4,Vesta,11/9/26,0.3,,V,0.559,21.5,,,0.024139804446808567,,,0.03,,,,,,El Leoncito Observatory 2.15-m,2016MNRAS.456..248C,,
4,Vesta,77/2/12,0.2,,B,0.435,15.2,,,0.002196906916553363,,,-0.36,,,,,,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,,
4,Vesta,77/2/13,0.0,,B,0.435,15.5,,,0.003213760098117777,,,-0.381,,,,,,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,,
4,Vesta,77/2/14,0.15,,B,0.435,15.9,,,0.002280033864171477,,,-0.378,,,,,,UofArizona LPL 100-cm MINIPOL at Mt. Lemmon,1978LPI.....9..235D;1979Icar...40..364D,,
4,Vesta,78/6/24,0.2,,V,0.559,10.7,,,0.004636696920581864,,,-0.5225,,,,,,UofArizona LPL 154-cm MINIPOL,1978BAAS...10R.595G;1979Icar...40..364D;1979aste.book..170D,,
4,Vesta,78/6/25,0.2,,V,0.559,11.1,,,0.003898194244435104,,,-0.525,,,,,,UofArizona LPL 154-cm MINIPOL,1978BAAS...10R.595G;1979Icar...40..364D;1979aste.book..170D,,
4,Vesta,78/6/26,0.15,,V,0.559,11.6,,,0.0038302123068818914,,,-0.525,,,,,,UofArizona LPL 154-cm MINIPOL,1978BAAS...10R.595G;1979Icar...40..364D;1979aste.book..170D,,
